2017-09-11 12:01:09,588 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-50407-1505102469244-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-09-11 12:01:09,589 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-09-11 12:01:09,922 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2017-09-11 12:01:09,929 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
2017-09-11 12:01:10,011 | INFO  | Using file upload directory: G:\app_server\apache-activemq-5.9.0\bin\..\data\tmp\uploads | io.hawt.web.UploadServlet | main
2017-09-11 12:01:10,021 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | main
2017-09-11 12:01:10,217 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-09-11 12:01:10,270 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-09-11 12:01:15,275 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-50407-1505102469244-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-24
2017-09-11 12:01:15,415 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2017-09-11 12:01:15,420 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2017-09-11 12:01:15,425 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2017-09-11 12:01:15,430 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2017-09-11 12:01:15,510 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2017-09-11 12:01:15,521 | INFO  | PListStore:[G:\app_server\apache-activemq-5.9.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-24
2017-09-11 12:01:15,524 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
